seed,locked_in,generations,cycle_period
0,True,15,2.0
1,True,6,1.0
2,True,52,2.0
3,True,35,1.0
4,True,5,2.0
5,True,6,1.0
6,True,23,1.0
7,True,26,1.0
8,True,42,1.0
9,True,23,1.0
10,True,35,1.0
11,True,7,1.0
12,True,13,1.0
13,True,35,2.0
14,True,15,2.0
15,True,21,2.0
16,True,31,1.0
17,True,27,2.0
18,True,5,2.0
19,True,26,1.0
20,True,10,2.0
21,True,14,1.0
22,True,27,1.0
23,True,14,1.0
24,True,14,2.0
25,False,60,
26,True,12,1.0
27,True,27,2.0
28,True,14,1.0
29,True,8,1.0
30,True,9,1.0
31,True,12,1.0
32,True,5,1.0
33,True,11,1.0
34,True,6,1.0
35,True,8,2.0
36,True,19,1.0
37,True,16,1.0
38,True,4,1.0
39,True,15,1.0
