generator,rule0,seed,locked_in,generations,cycle_period
population_count,90,0,True,8,1.0
population_count,90,1,True,9,1.0
population_count,90,2,True,15,1.0
population_count,90,3,True,7,1.0
population_count,90,4,True,7,1.0
population_count,90,5,True,12,1.0
population_count,90,6,True,9,1.0
population_count,90,7,True,6,1.0
population_count,90,8,True,2,1.0
population_count,90,9,False,40,
population_count,90,10,True,9,1.0
population_count,90,11,True,21,1.0
population_count,90,12,True,13,1.0
population_count,90,13,True,10,2.0
population_count,90,14,True,8,2.0
population_count,90,15,True,10,1.0
population_count,90,16,True,8,1.0
population_count,90,17,True,27,1.0
population_count,90,18,True,9,2.0
population_count,90,19,True,9,1.0
population_count,90,20,True,16,1.0
population_count,90,21,True,10,1.0
population_count,90,22,True,9,2.0
population_count,90,23,True,10,1.0
population_count,90,24,True,10,1.0
population_count,90,25,True,7,1.0
population_count,90,26,True,17,1.0
population_count,90,27,True,9,1.0
population_count,90,28,True,13,1.0
population_count,90,29,False,40,
population_count,90,30,True,14,1.0
population_count,90,31,True,7,1.0
population_count,90,32,True,10,1.0
population_count,90,33,True,6,1.0
population_count,90,34,True,12,1.0
population_count,90,35,True,7,1.0
population_count,90,36,True,23,1.0
population_count,90,37,True,12,1.0
population_count,90,38,True,13,1.0
population_count,90,39,True,13,1.0
population_count,30,0,True,8,1.0
population_count,30,1,True,9,1.0
population_count,30,2,True,15,1.0
population_count,30,3,True,7,1.0
population_count,30,4,True,7,1.0
population_count,30,5,True,12,1.0
population_count,30,6,True,9,1.0
population_count,30,7,True,6,1.0
population_count,30,8,True,2,1.0
population_count,30,9,False,40,
population_count,30,10,True,9,1.0
population_count,30,11,True,21,1.0
population_count,30,12,True,13,1.0
population_count,30,13,True,10,2.0
population_count,30,14,True,8,2.0
population_count,30,15,True,10,1.0
population_count,30,16,True,8,1.0
population_count,30,17,True,27,1.0
population_count,30,18,True,9,2.0
population_count,30,19,True,9,1.0
population_count,30,20,True,16,1.0
population_count,30,21,True,10,1.0
population_count,30,22,True,9,2.0
population_count,30,23,True,10,1.0
population_count,30,24,True,10,1.0
population_count,30,25,True,7,1.0
population_count,30,26,True,17,1.0
population_count,30,27,True,9,1.0
population_count,30,28,True,13,1.0
population_count,30,29,False,40,
population_count,30,30,True,14,1.0
population_count,30,31,True,7,1.0
population_count,30,32,True,10,1.0
population_count,30,33,True,1,1.0
population_count,30,34,True,12,1.0
population_count,30,35,True,7,1.0
population_count,30,36,True,23,1.0
population_count,30,37,True,1,1.0
population_count,30,38,True,13,1.0
population_count,30,39,True,1,1.0
population_count,110,0,True,8,1.0
population_count,110,1,True,9,1.0
population_count,110,2,True,15,1.0
population_count,110,3,True,7,1.0
population_count,110,4,True,7,1.0
population_count,110,5,True,12,1.0
population_count,110,6,True,9,1.0
population_count,110,7,True,6,1.0
population_count,110,8,True,2,1.0
population_count,110,9,False,40,
population_count,110,10,True,9,1.0
population_count,110,11,True,21,1.0
population_count,110,12,True,13,1.0
population_count,110,13,True,10,2.0
population_count,110,14,True,8,2.0
population_count,110,15,True,10,1.0
population_count,110,16,True,8,1.0
population_count,110,17,True,27,1.0
population_count,110,18,True,9,2.0
population_count,110,19,True,9,1.0
population_count,110,20,True,16,1.0
population_count,110,21,True,10,1.0
population_count,110,22,True,9,2.0
population_count,110,23,True,10,1.0
population_count,110,24,True,10,1.0
population_count,110,25,True,7,1.0
population_count,110,26,True,17,1.0
population_count,110,27,True,9,1.0
population_count,110,28,True,13,1.0
population_count,110,29,False,40,
population_count,110,30,True,14,1.0
population_count,110,31,True,7,1.0
population_count,110,32,True,10,1.0
population_count,110,33,True,6,1.0
population_count,110,34,True,12,1.0
population_count,110,35,True,7,1.0
population_count,110,36,True,23,1.0
population_count,110,37,True,12,1.0
population_count,110,38,True,13,1.0
population_count,110,39,True,13,1.0
absential_count,90,0,True,3,1.0
absential_count,90,1,True,6,1.0
absential_count,90,2,True,5,2.0
absential_count,90,3,True,9,1.0
absential_count,90,4,True,6,3.0
absential_count,90,5,True,7,1.0
absential_count,90,6,True,2,1.0
absential_count,90,7,True,5,1.0
absential_count,90,8,True,4,1.0
absential_count,90,9,True,4,1.0
absential_count,90,10,True,4,1.0
absential_count,90,11,True,13,1.0
absential_count,90,12,True,7,1.0
absential_count,90,13,True,6,1.0
absential_count,90,14,True,8,1.0
absential_count,90,15,True,4,1.0
absential_count,90,16,True,5,1.0
absential_count,90,17,True,6,1.0
absential_count,90,18,True,3,1.0
absential_count,90,19,True,9,1.0
absential_count,90,20,True,10,1.0
absential_count,90,21,True,7,1.0
absential_count,90,22,True,6,2.0
absential_count,90,23,True,5,1.0
absential_count,90,24,True,7,1.0
absential_count,90,25,True,9,1.0
absential_count,90,26,True,8,1.0
absential_count,90,27,True,3,1.0
absential_count,90,28,True,20,1.0
absential_count,90,29,True,7,1.0
absential_count,90,30,True,13,1.0
absential_count,90,31,True,12,1.0
absential_count,90,32,True,4,1.0
absential_count,90,33,True,6,1.0
absential_count,90,34,True,8,1.0
absential_count,90,35,True,4,1.0
absential_count,90,36,True,9,1.0
absential_count,90,37,True,13,1.0
absential_count,90,38,True,5,1.0
absential_count,90,39,True,14,1.0
absential_count,30,0,True,3,1.0
absential_count,30,1,True,6,1.0
absential_count,30,2,True,5,2.0
absential_count,30,3,True,9,1.0
absential_count,30,4,True,6,3.0
absential_count,30,5,True,7,1.0
absential_count,30,6,True,2,1.0
absential_count,30,7,True,5,1.0
absential_count,30,8,True,4,1.0
absential_count,30,9,True,4,1.0
absential_count,30,10,True,4,1.0
absential_count,30,11,True,13,1.0
absential_count,30,12,True,7,1.0
absential_count,30,13,True,6,1.0
absential_count,30,14,True,8,1.0
absential_count,30,15,True,4,1.0
absential_count,30,16,True,1,1.0
absential_count,30,17,True,6,1.0
absential_count,30,18,True,3,1.0
absential_count,30,19,True,9,1.0
absential_count,30,20,True,5,3.0
absential_count,30,21,True,7,1.0
absential_count,30,22,True,6,2.0
absential_count,30,23,True,5,1.0
absential_count,30,24,True,7,1.0
absential_count,30,25,True,9,1.0
absential_count,30,26,True,8,1.0
absential_count,30,27,True,3,1.0
absential_count,30,28,True,20,1.0
absential_count,30,29,True,7,1.0
absential_count,30,30,True,13,1.0
absential_count,30,31,True,12,1.0
absential_count,30,32,True,4,1.0
absential_count,30,33,True,6,1.0
absential_count,30,34,True,8,1.0
absential_count,30,35,True,4,1.0
absential_count,30,36,True,9,1.0
absential_count,30,37,True,13,1.0
absential_count,30,38,True,5,1.0
absential_count,30,39,True,14,1.0
absential_count,110,0,True,3,1.0
absential_count,110,1,True,6,1.0
absential_count,110,2,True,5,2.0
absential_count,110,3,True,9,1.0
absential_count,110,4,True,6,3.0
absential_count,110,5,True,7,1.0
absential_count,110,6,True,2,1.0
absential_count,110,7,True,5,1.0
absential_count,110,8,True,4,1.0
absential_count,110,9,True,4,1.0
absential_count,110,10,True,4,1.0
absential_count,110,11,True,13,1.0
absential_count,110,12,True,7,1.0
absential_count,110,13,True,6,1.0
absential_count,110,14,True,8,1.0
absential_count,110,15,True,4,1.0
absential_count,110,16,True,5,1.0
absential_count,110,17,True,6,1.0
absential_count,110,18,True,3,1.0
absential_count,110,19,True,9,1.0
absential_count,110,20,True,10,1.0
absential_count,110,21,True,7,1.0
absential_count,110,22,True,6,2.0
absential_count,110,23,True,5,1.0
absential_count,110,24,True,7,1.0
absential_count,110,25,True,9,1.0
absential_count,110,26,True,8,1.0
absential_count,110,27,True,3,1.0
absential_count,110,28,True,20,1.0
absential_count,110,29,True,7,1.0
absential_count,110,30,True,13,1.0
absential_count,110,31,True,12,1.0
absential_count,110,32,True,4,1.0
absential_count,110,33,True,6,1.0
absential_count,110,34,True,8,1.0
absential_count,110,35,True,4,1.0
absential_count,110,36,True,9,1.0
