seed,condition,comp_state,comp_rulefield,distinct_t0,distinct_final
0,uniform_4,0.0248,,,
0,uniform_30,1.0044,,,
0,uniform_90,1.0044,,,
0,uniform_110,0.6412,,,
0,frozen_random,0.1724,,,
0,frozen_mosaic,0.916,,,
0,gated_diffusion,0.0704,0.06305,88.0,30.0
0,read_from_state,0.3084,,,
1,uniform_4,0.0248,,,
1,uniform_30,1.0044,,,
1,uniform_90,1.0044,,,
1,uniform_110,0.8216,,,
1,frozen_random,0.1512,,,
1,frozen_mosaic,0.9688,,,
1,gated_diffusion,0.1864,0.11475,78.0,15.0
1,read_from_state,0.2668,,,
2,uniform_4,0.0252,,,
2,uniform_30,1.0044,,,
2,uniform_90,1.0044,,,
2,uniform_110,0.5768,,,
2,frozen_random,0.0928,,,
2,frozen_mosaic,0.0688,,,
2,gated_diffusion,0.2004,0.15375,80.0,17.0
2,read_from_state,0.206,,,
3,uniform_4,0.0268,,,
3,uniform_30,1.0044,,,
3,uniform_90,1.0044,,,
3,uniform_110,0.798,,,
3,frozen_random,0.1052,,,
3,frozen_mosaic,0.0356,,,
3,gated_diffusion,0.2076,0.12445,83.0,17.0
3,read_from_state,0.3516,,,
4,uniform_4,0.0264,,,
4,uniform_30,1.0044,,,
4,uniform_90,1.0044,,,
4,uniform_110,0.8788,,,
4,frozen_random,0.1348,,,
4,frozen_mosaic,0.0428,,,
4,gated_diffusion,0.2412,0.08075,86.0,24.0
4,read_from_state,0.2768,,,
5,uniform_4,0.0268,,,
5,uniform_30,1.0044,,,
5,uniform_90,1.0044,,,
5,uniform_110,0.8952,,,
5,frozen_random,0.4188,,,
5,frozen_mosaic,0.074,,,
5,gated_diffusion,0.1576,0.09004999999999999,85.0,22.0
5,read_from_state,0.3748,,,
6,uniform_4,0.0272,,,
6,uniform_30,1.0044,,,
6,uniform_90,1.0044,,,
6,uniform_110,0.8532,,,
6,frozen_random,0.0908,,,
6,frozen_mosaic,0.0612,,,
6,gated_diffusion,0.1228,0.09034999999999999,79.0,22.0
6,read_from_state,0.2932,,,
7,uniform_4,0.0268,,,
7,uniform_30,1.0044,,,
7,uniform_90,1.0044,,,
7,uniform_110,0.7432,,,
7,frozen_random,0.2788,,,
7,frozen_mosaic,0.3764,,,
7,gated_diffusion,0.1864,0.1237,80.0,19.0
7,read_from_state,0.1284,,,
8,uniform_4,0.0264,,,
8,uniform_30,1.0044,,,
8,uniform_90,1.0044,,,
8,uniform_110,0.7828,,,
8,frozen_random,0.3456,,,
8,frozen_mosaic,0.15,,,
8,gated_diffusion,0.15,0.10155,82.0,16.0
8,read_from_state,0.1224,,,
9,uniform_4,0.0264,,,
9,uniform_30,1.0044,,,
9,uniform_90,1.0044,,,
9,uniform_110,0.844,,,
9,frozen_random,0.232,,,
9,frozen_mosaic,0.1636,,,
9,gated_diffusion,0.1592,0.1266,78.0,17.0
9,read_from_state,0.2288,,,
10,uniform_4,0.0268,,,
10,uniform_30,1.0044,,,
10,uniform_90,1.0044,,,
10,uniform_110,0.8132,,,
10,frozen_random,0.2288,,,
10,frozen_mosaic,0.1088,,,
10,gated_diffusion,0.1296,0.09534999999999999,85.0,18.0
10,read_from_state,0.2332,,,
11,uniform_4,0.0264,,,
11,uniform_30,1.0044,,,
11,uniform_90,1.0044,,,
11,uniform_110,0.8512,,,
11,frozen_random,0.1548,,,
11,frozen_mosaic,0.1072,,,
11,gated_diffusion,0.114,0.094,82.0,21.0
11,read_from_state,0.1928,,,
12,uniform_4,0.0268,,,
12,uniform_30,1.0044,,,
12,uniform_90,1.0044,,,
12,uniform_110,0.9084,,,
12,frozen_random,0.3972,,,
12,frozen_mosaic,0.03,,,
12,gated_diffusion,0.2008,0.14665,82.0,15.0
12,read_from_state,0.2508,,,
13,uniform_4,0.0264,,,
13,uniform_30,1.0044,,,
13,uniform_90,1.0044,,,
13,uniform_110,0.7428,,,
13,frozen_random,0.0932,,,
13,frozen_mosaic,0.082,,,
13,gated_diffusion,0.1272,0.09405,82.0,23.0
13,read_from_state,0.3032,,,
14,uniform_4,0.0268,,,
14,uniform_30,1.0044,,,
14,uniform_90,1.0044,,,
14,uniform_110,0.5052,,,
14,frozen_random,0.1364,,,
